Date,Adj Close,Volume,Return,,,,,,,,,,,,,,,,,,,,,
2018-01-12,1305.199951,5443700,0.022339111,,,,,,,,,,,,,,,,,,,,,
2018-01-16,1304.859985,7220700,-0.00026047,,,,,,,,,,,,,,,,,,,,,
2018-01-17,1295,5253800,-0.007556355,,,,,,,,,,,,,,,,,,,,,
2018-01-18,1293.319946,4026900,-0.001297339,,,,,,,,,,,,,,,,,,,,,
2018-01-19,1294.579956,4578500,0.000974245,,,,,,,,,,,,,,,,,,,,,
2018-01-22,1327.310059,4140100,0.025282411,,,,,,,,,,,,,,,,,,,,,
2018-01-23,1362.540039,5169300,0.026542389,,,,,,,,,,,,,,,,,,,,,
2018-01-24,1357.51001,6807500,-0.003691656,,,,,,,,,,,,,,,,,,,,,
2018-01-25,1377.949951,4753000,0.015056936,,,,,,,,,,,,,,,,,,,,,
2018-01-26,1402.050049,4857300,0.017489821,,,,,,,,,,,,,,,,,,,,,
2018-01-29,1417.680054,5701900,0.011147965,,,,,,,,,,,,,,,,,,,,,
2018-01-30,1437.819946,5871900,0.014206232,,,,,,,,,,,,,,,,,,,,,
2018-01-31,1450.890015,6424700,0.009090199,,,,,,,,,,,,,,,,,,,,,
2018-02-01,1390,9113800,-0.041967354,,,,,,,,,,,,,,,,,,,,,
2018-02-02,1429.949951,11125700,0.028740972,,,,,,,,,,,,,,,,,,,,,
2018-02-05,1390,11495000,-0.027938006,,,,,,,,,,,,,,,,,,,,,
2018-02-06,1442.839966,11066800,0.038014364,,,,,,,,,,,,,,,,,,,,,
2018-02-07,1416.780029,7162700,-0.018061557,,,,,,,,,,,,,,,,,,,,,
2018-02-08,1350.5,8578600,-0.046782159,,,,,,,,,,,,,,,,,,,,,
2018-02-09,1339.599976,14141500,-0.008071103,,,,,,,,,,,,,,,,,,,,,
2018-02-12,1386.22998,6738900,0.034808902,,,,,,,,,,,,,,,,,,,,,
2018-02-13,1414.51001,5917900,0.020400677,,,,,,,,,,,,,,,,,,,,,
2018-02-14,1451.050049,5959200,0.025832294,,,,,,,,,,,,,,,,,,,,,
2018-02-15,1461.76001,5652700,0.007380835,,,,,,,,,,,,,,,,,,,,,
2018-02-16,1448.689941,4472600,-0.008941323,,,,,,,,,,,,,,,,,,,,,
2018-02-20,1468.349976,6499200,0.013570906,,,,,,,,,,,,,,,,,,,,,
2018-02-21,1482.920044,6304400,0.009922749,,,,,,,,,,,,,,,,,,,,,
2018-02-22,1485.339966,4858100,0.001631863,,,,,,,,,,,,,,,,,,,,,
2018-02-23,1500,4418100,0.009869817,,,,,,,,,,,,,,,,,,,,,
2018-02-26,1521.949951,4955000,0.014633301,,,,,,,,,,,,,,,,,,,,,
2018-02-27,1511.97998,4808800,-0.006550788,,,,,,,,,,,,,,,,,,,,,
2018-02-28,1512.449951,4515000,0.000310831,,,,,,,,,,,,,,,,,,,,,
2018-03-01,1493.449951,6835200,-0.012562399,,,,,,,,,,,,,,,,,,,,,
2018-03-02,1500.25,6587600,0.004553249,,,,,,,,,,,,,,,,,,,,,
2018-03-05,1523.609985,5233900,0.015570728,,,,,,,,,,,,,,,,,,,,,
2018-03-06,1537.640015,4561700,0.009208413,,,,,,,,,,,,,,,,,,,,,
2018-03-07,1545,4174100,0.004786546,,,,,,,,,,,,,,,,,,,,,
2018-03-08,1551.859985,3862600,0.00444012,,,,,,,,,,,,,,,,,,,,,
2018-03-09,1578.890015,4534300,0.017417828,,,,,,,,,,,,,,,,,,,,,
2018-03-12,1598.390015,5174200,0.012350449,,,,,,,,,,,,,,,,,,,,,
2018-03-13,1588.180054,6531900,-0.006387653,,,,,,,,,,,,,,,,,,,,,
2018-03-14,1591,4259400,0.001775583,,,,,,,,,,,,,,,,,,,,,
2018-03-15,1582.319946,4069700,-0.005455722,,,,,,,,,,,,,,,,,,,,,
2018-03-16,1571.680054,5425000,-0.006724236,,,,,,,,,,,,,,,,,,,,,
2018-03-19,1544.930054,6580800,-0.017020003,,,,,,,,,,,,,,,,,,,,,
2018-03-20,1586.51001,4581600,0.026913811,,,,,,,,,,,,,,,,,,,,,
2018-03-21,1581.859985,4750800,-0.002930977,,,,,,,,,,,,,,,,,,,,,
2018-03-22,1544.920044,6320600,-0.023352219,,,,,,,,,,,,,,,,,,,,,
2018-03-23,1495.560059,8006000,-0.031949864,,,,,,,,,,,,,,,,,,,,,
2018-03-26,1555.859985,5624700,0.040319294,,,,,,,,,,,,,,,,,,,,,
2018-03-27,1497.050049,6999600,-0.03779899,,,,,,,,,,,,,,,,,,,,,
2018-03-28,1431.420044,13705300,-0.043839553,,,,,,,,,,,,,,,,,,,,,
2018-03-29,1447.339966,12581100,0.011121768,,,,,,,,,,,,,,,,,,,,,
2018-04-02,1371.98999,10463600,-0.052061007,,,,,,,,,,,,,,,,,,,,,
2018-04-03,1392.050049,10231200,0.014621141,,,,,,,,,,,,,,,,,,,,,
2018-04-04,1410.569946,6982300,0.013304045,,,,,,,,,,,,,,,,,,,,,
2018-04-05,1451.75,6413500,0.029193911,,,,,,,,,,,,,,,,,,,,,
2018-04-06,1405.22998,5882300,-0.032044099,,,,,,,,,,,,,,,,,,,,,
2018-04-09,1406.079956,4208200,0.000604866,,,,,,,,,,,,,,,,,,,,,
2018-04-10,1436.219971,4254100,0.021435492,,,,,,,,,,,,,,,,,,,,,
2018-04-11,1427.050049,3582500,-0.006384762,,,,,,,,,,,,,,,,,,,,,
2018-04-12,1448.5,3135000,0.015030973,,,,,,,,,,,,,,,,,,,,,
2018-04-13,1430.790039,3685300,-0.012226414,,,,,,,,,,,,,,,,,,,,,
2018-04-16,1441.5,2808600,0.007485348,,,,,,,,,,,,,,,,,,,,,
2018-04-17,1503.829956,5114400,0.04323965,,,,,,,,,,,,,,,,,,,,,
2018-04-18,1527.839966,5227500,0.015965908,,,,,,,,,,,,,,,,,,,,,
2018-04-19,1556.910034,6523700,0.019026906,,,,,,,,,,,,,,,,,,,,,
2018-04-20,1527.48999,5541600,-0.018896432,,,,,,,,,,,,,,,,,,,,,
2018-04-23,1517.859985,4465400,-0.006304464,,,,,,,,,,,,,,,,,,,,,
2018-04-24,1460.089966,7494700,-0.038060177,,,,,,,,,,,,,,,,,,,,,
2018-04-25,1460.170044,6587300,5.48446E-05,,,,,,,,,,,,,,,,,,,,,
2018-04-26,1517.959961,8801100,0.039577525,,,,,,,,,,,,,,,,,,,,,
