Week,Date,Close Price,Volume,,,,,,
4,11/16/2017,619.9707,12.138B,,,,,,
3,11/15/2017,615.24646,12.064B,,,,,,
2,11/14/2017,618.3313,14.324B,,,,,,
1,11/13/2017,621.34216,15.145B,,,,,,
5,2017/10/11,618.72327,14.182B,,,,,,
4,2017/9/11,613.94208,12.106B,,,,,,
3,2017/8/11,611.16736,15.083B,,,,,,
2,2017/7/11,611.5741,15.212B,,,,,,
1,2017/6/11,607.83508,12.208B,,,,,,
5,2017/3/11,602.32593,12.94B,,,,,,
4,2017/2/11,604.53638,12.61B,,,,,,
3,2017/1/11,604.92554,13.042B,,,,,,
2,10/31/2017,604.45007,10.918B,,,,,,
1,10/30/2017,604.24689,15.739B,,,,,,
5,10/27/2017,605.01648,12.667B,,,,,,
4,10/26/2017,601.52429,12.99B,,,,,,
3,10/25/2017,599.4798,8.821B,,,,,,
2,10/24/2017,597.35602,9.306B,,,,,,
1,10/23/2017,593.61475,8.148B,,,,,,
5,10/20/2017,593.70917,7.298B,,,,,,
4,10/19/2017,595.86963,10.653B,,,,,,
3,10/18/2017,597.25659,10.097B,,,,,,
2,10/17/2017,593.06,8.224B,,,,,,
1,10/16/2017,594.17975,12.136B,,,,,,
5,10/13/2017,596.91296,9.014B,,,,,,
4,2017/12/10,595.73315,9.434B,,,,,,
3,2017/11/10,593.15857,10.442B,,,,,,
2,2017/10/10,591.00305,11.253B,,,,,,
1,2017/9/10,586.88837,13.554B,,,,,,
5,09/29/2017,578.23041,9.331B,,,,,,
4,09/28/2017,574.84381,9.354B,,,,,,
3,09/27/2017,576.12402,8.566B,,,,,,
2,09/26/2017,576.50409,8.187B,,,,,,
1,09/25/2017,577.13293,10.395B,,,,,,
5,09/22/2017,583.24164,10.062B,,,,,,
4,09/21/2017,584.51642,11.11B,,,,,,
3,09/20/2017,584.89893,10.113B,,,,,,
2,09/19/2017,582.97321,11.243B,,,,,,
1,09/18/2017,585.07794,11.793B,,,,,,
5,09/15/2017,585.71759,12.243B,,,,,,
4,09/14/2017,584.59216,11.536B,,,,,,
3,09/13/2017,586.80969,9.541B,,,,,,
2,2017/12/9,587.81976,14.419B,,,,,,
1,2017/11/9,586.09918,12.388B,,,,,,
5,2017/8/9,590.03894,10.604B,,,,,,
4,2017/7/9,590.26434,12.388B,,,,,,
3,2017/6/9,589.61969,13.14B,,,,,,
2,2017/5/9,590.12329,12.496B,,,,,,
1,2017/4/9,589.07751,14.957B,,,,,,
5,2017/1/9,583.92346,15.865B,,,,,,
4,08/31/2017,579.49133,13.294B,,,,,,
3,08/30/2017,581.21887,14.135B,,,,,,
2,08/29/2017,580.50684,12.823B,,,,,,
1,08/28/2017,580.18085,18.558B,,,,,,
5,08/25/2017,571.27972,12.994B,,,,,,
4,08/24/2017,561.06091,8.995B,,,,,,
3,08/23/2017,564.10425,10.496B,,,,,,
2,08/22/2017,563.30664,10.029B,,,,,,
1,08/21/2017,561.71924,10.031B,,,,,,
5,08/18/2017,558.69006,9.656B,,,,,,
4,08/17/2017,557.94604,10.866B,,,,,,
