,Actual,Predicted
1913,-0.0053314,-0.000584156
1914,0.0052538,0.001944832
1915,-0.0035512,0.001056301
1916,0.0083847,0.000727296
1917,-0.0036099,0.000260098
1918,-0.0031991,-7.74E-05
1919,0.012339,0.000422148
1920,-0.0026376,0.000838301
1921,0.0029794,0.001299339
1922,-0.000238,-0.000279058
1923,0.0139015,0.001099031
1924,-0.0029916,0.001009117
1925,0.0079208,-0.000215412
1926,-0.0005371,-0.000209347
1927,0.0021036,0.00068464
1928,-0.0010301,0.000941096
1929,-0.0103056,0.001041371
1930,0.0057907,-0.000169152
1931,0.0062125,0.000754144
1932,0.0020984,0.000109968
1933,0.019062,0.000408442
1934,0.0062184,0.001160319
1935,-0.0098505,1.60E-06
1936,0.0053313,0.001035739
1937,-0.0060312,-0.001165989
1938,-0.0001799,0.002039489
1939,-0.0019211,0.001118968
1940,-0.0150717,0.000133851
1941,-0.0035339,-0.000392058
1942,0.0022026,0.001613028
1943,-0.0101406,-0.000273246
1944,-0.0214265,0.000320687
1945,0.0027773,0.00163638
1946,0.0118948,0.002129037
1947,0.0113632,-0.00104198
1948,-0.0059177,-5.63E-05
1949,0.0148719,0.002313357
1950,-0.0019067,-0.001298487
1951,-0.0109123,0.002236421
1952,0.0070126,0.001460417
1953,0.0069965,0.001367439
1954,-0.000669,0.001536993
1955,0.0045485,0.000281241
1956,0.0071832,0.00176734
1957,0.0006644,0.000523257
1958,0.0089889,0.001013505
1959,0.0018564,0.00022159
1960,0.0199257,0.000619687
1961,0.0014956,0.000827539
1962,0.0057436,-0.000346927
1963,0.0025429,0.000222404
1964,0.0027548,-1.07E-05
1965,0.0036208,0.000806666
1966,0.0020093,0.000584975
1967,0.0015019,0.000732908
1968,0.0093877,0.000606205
1969,-0.0023452,0.000400129
1970,0.0180568,0.000587813
1971,0.0024655,0.000894028
1972,0.0043313,4.50E-06
1973,0.004139,0.001298784
1974,0.0042945,0.000696669
1975,0.0165864,0.000965117
1976,0.00085,0.000119225
1977,-0.009231,0.000467864
1978,0.0153018,0.000587241
1979,-0.0056473,-0.000821404
1980,-0.010908,0.003233461
1981,0.0085864,0.001264956
1982,-0.0074552,0.00132098
1983,-0.0012349,0.000660267
1984,-0.0109368,-0.000457808
1985,-0.0511642,6.27E-05
1986,-0.0088974,0.000694183
1987,0.0042235,0.002685451
1988,-0.0309954,0.00107883
1989,-0.0016196,0.001226476
1990,0.0128956,0.003005193
1991,0.0226569,0.001785823
1992,0.0196565,-0.000514294
1993,-0.007771,-0.001308595
1994,0.0180821,0.000751028
1995,-0.0148324,-0.004555019
1996,0.0097363,0.004898344
1997,0.0074017,0.003050813
1998,-0.0073,0.000466258
1999,-0.013558,0.00111789
2000,0.0064688,0.00399312
2001,-0.0148434,-0.000750454
2002,-0.022792,-0.002236025
2003,0.0208904,0.003281641
2004,-0.0102853,0.001145508
2005,0.0151539,0.001352557
2006,0.0111465,0.004057961
2007,0.0192965,0.002577184
2008,0.0002253,0.000744555
2009,-0.0052668,0.000730241
2010,0.0033749,-0.000692333
2011,-0.0012406,-0.000819791
2012,0.0003742,0.001024197
2013,0.0011478,0.00031729
2014,-0.0042919,0.000519426
2015,-0.0109334,0.00026276
2016,-0.0245168,0.000655971
2017,0.0079012,0.00116507
2018,0.0079237,0.00224512
2019,-0.0249523,-0.002196431
2020,0.0023599,0.001225499
2021,0.0028817,0.004020979
2022,-0.0219154,0.000611802
2023,0.0110523,0.005050289
2024,0.012888,0.003164888
2025,0.0165123,0.000502922
2026,0.0054988,0.000839533
2027,-0.0021501,0.002077155
2028,-0.0007427,-0.001150587
2029,-0.0159954,-0.000598406
2030,-0.0083403,-0.000957089
2031,0.0073679,-2.47E-05
2032,0.0140069,0.000350631
2033,-0.0094472,-0.000293974
2034,-0.0053892,-0.001398073
2035,0.012621,0.001145298
2036,-0.0100564,-0.00041996
2037,-0.0105668,0.000497604
2038,0.0090973,0.000522588
2039,0.0174296,0.000466407
2040,-0.002745,-0.001609194
2041,-0.0133613,-0.000864787
2042,-0.0127623,0.002700756
2043,0.0022642,0.000283421
2044,0.013621,3.73E-05
2045,0.0043855,-0.000279579
2046,0.0089428,-0.001853667
2047,0.0101541,0.000496993
2048,0.0134637,-0.000520842
2049,-0.0123347,0.000410559
2050,-0.0013428,0.000225027
2051,-0.0054017,-0.002392642
2052,0.003418,0.000333832
2053,0.0060049,0.002343578
2054,-0.0182078,-0.00122085
2055,0.0030904,-0.001443687
2056,-0.0056037,0.000492935
2057,0.0066765,-0.00098153
2058,-0.0099921,0.00368387
2059,-0.014033,-0.001277929
2060,0.0136998,0.001445954
2061,0.0007992,0.001263811
2062,0.0165635,0.000985152
2063,0.0030798,0.001940283
2064,0.0053275,0.001297771
2065,0.0081106,0.001265213
2066,-0.0175936,-0.000129726
2067,0.0034074,-0.001006992
2068,0.0012671,-0.001848704
2069,-0.0121503,0.000423238
2070,-0.0092752,0.002511404
2071,-0.004293,0.002388869
2072,-0.0277583,-0.00059214
2073,0.0077378,0.000748859
2074,-0.0134738,0.00240226
2075,0.0014558,-0.000538728
2076,-0.0128604,0.002789461
2077,-0.002762,-0.0016276
2078,-0.0181827,0.001910287
2079,0.0049746,-0.001910491
2080,0.0160643,0.002637672
2081,-0.0141439,-0.000123434
2082,-0.0106461,0.000553108
2083,-0.0021097,0.002457212
2084,0.0047381,-0.001270321
2085,0.0131687,0.002713899
2086,-0.0002179,-0.001130845
2087,-0.0129195,-0.001017343
2088,0.0059742,0.001653731
2089,0.0015663,-0.000786036
2090,0.0004985,0.00163666
2091,-0.0125433,0.000857894
2092,-0.0022802,0.001478529
2093,-0.0037898,-0.00033522
2094,0.0076264,-0.000815461
2095,0.001121,0.001837236
2096,0.0143845,-0.001678734
2097,0.0090128,0.000525725
2098,-0.0048325,-0.000639242
2099,0.000804,0.001227179
2100,-0.0024701,-0.000295931
2101,-0.0052247,0.00085422
2102,-0.008476,0.000130265
2103,-0.0220947,0.000468462
2104,-0.0013798,0.000286744
2105,0.0051756,0.002330106
2106,0.0154323,-0.000920899
2107,0.0039032,0.001117562
2108,0.0087506,-0.000293051
2109,-0.0084133,-0.000496709
2110,-0.0151604,0.000606051
2111,-0.0065735,0.000168807
2112,-0.0154701,-0.000349437
2113,-0.0081808,-0.001955659
2114,0.0041826,0.001552625
2115,0.0141331,-0.001243477
2116,0.005608,-0.000315777
2117,0.0062981,-0.001874968
2118,-0.0049098,0.00019362
2119,-0.0042674,0.000528833
2120,0.021661,-0.000314986
2121,0.0028421,0.000457866
2122,0.0022863,0.001590396
2123,-0.0088818,2.70E-05
2124,-0.009782,0.002352265
2125,-0.0063113,-0.000955351
2126,0.0094109,-0.000351339
2127,-0.0260781,0.001594185
2128,-0.0098749,-0.003376322
2129,-5.00E-05,0.001111104
2130,-0.0133483,-0.00174947
2131,-0.0071719,0.005209139
2132,-0.0029335,-0.001793256
2133,0.0254109,-0.000695635
2134,0.0100657,0.000629755
2135,-0.0129574,-0.002037883
2136,0.0056366,0.001514156
2137,0.0119148,-0.000642783
2138,0.002565,0.002776491
2139,0.0173199,0.002326193
2140,-0.016248,0.001007875
2141,0.0115449,0.000228595
2142,-0.0036381,-0.001140124
2143,0.0026285,0.000728602
2144,-0.0238278,0.002870965
2145,-0.0012947,-4.69E-05
2146,-0.0172525,-0.000766812
2147,-0.0019268,-0.003065054
2148,-0.0139241,0.004557126
2149,-0.001132,-0.002270193
2150,0.0007703,0.002582708
2151,-0.0353796,-0.002479709
2152,0.0211792,0.001133067
2153,-0.0138143,0.002203295
2154,0.0006759,0.001587844
2155,-0.0003028,0.003568379
2156,0.0041977,2.89E-05
2157,0.0231501,0.00154301
2158,-0.0308414,0.000940343
2159,-0.0038179,-0.002681234
2160,-0.0101117,-0.003166293
2161,-0.0110757,-0.00250855
2162,0.0038195,0.004644743
2163,-0.009129,-0.00313221
2164,0.0160322,-0.001536767
2165,0.0174666,0.002358067
2166,0.0421132,-3.21E-06
2167,-0.0208394,-0.001017582
2168,0.0071939,0.00389266
2169,0.0010233,-0.000111158
2170,0.0030607,0.001316207
2171,-0.0238603,8.57E-05
2172,0.001221,0.00010499
2173,0.0062298,-0.001324615
2174,-0.0053674,-3.87E-05
2175,0.0174983,0.004227025
2176,0.003072,0.001930946
2177,0.0071981,0.00025743
2178,-0.02016,0.001406783
2179,0.0050747,0.001841115
2180,0.0018459,-0.000818215
2181,-0.0035255,0.000302875
2182,0.0172981,0.003570043
2183,-0.0016765,0.001870128
2184,0.0133146,0.001144733
2185,-0.0086772,0.000677387
2186,0.0021066,0.000804436
2187,0.0254761,0.000736704
2188,0.0028843,0.001743491
2189,-0.0161685,0.003277408
2190,-0.0247318,0.001253012
2191,-0.0035411,0.00121262
2192,-0.0119468,-0.000622091
2193,0.000749,4.70E-05
2194,0.0161045,0.000430683
2195,0.0128935,-0.000331112
2196,-0.016195,-0.001598195
2197,-0.0002609,0.000874337
2198,-0.0104926,-0.002323611
2199,0.0019811,0.000845433
2200,-0.0093508,0.003434432
2201,0.0050692,-0.00242036
2202,-0.0039622,0.001269654
2203,-0.0067248,-0.001441276
2204,0.0009937,0.000652095
2205,0.01339,0.001266019
2206,-0.0276777,0.000302288
2207,-0.0026259,-0.003843328
2208,0.0224091,-0.000926097
