Year,Date,Close Price,IV20,IV60,PoR,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
2018,2018/5/14,2730.13,11.18,18.93,0.0009,-0.0008,0.0068,0.0142,0.0113,-0.0156,1
2018,2018/5/15,2711.45,11.31,18.68,-0.0068,-0.0077,-0.0069,-0.0137,-0.0279,-0.0392,0
2018,2018/5/16,2722.46,11.26,18.66,0.0041,0.0109,0.0186,0.0255,0.0393,0.0672,1
2018,2018/5/17,2720.13,11.02,16.84,-0.0009,-0.0049,-0.0158,-0.0344,-0.06,-0.0992,0
2018,2018/5/18,2712.97,10.51,16.62,-0.0026,-0.0018,0.0031,0.019,0.0534,0.1134,0
2018,2018/5/21,2733.01,10.78,16.45,0.0074,0.01,0.0118,0.0087,-0.0103,-0.0637,1
2018,2018/5/22,2724.44,10.63,16.47,-0.0031,-0.0105,-0.0205,-0.0323,-0.041,-0.0307,0
2018,2018/5/23,2733.29,10.09,16.27,0.0032,0.0064,0.0169,0.0374,0.0698,0.1108,1
2018,2018/5/24,2727.76,10.15,16.28,-0.002,-0.0053,-0.0117,-0.0286,-0.066,-0.1358,0
2018,2018/5/25,2721.33,8.76,15.97,-0.0024,-0.0003,0.0049,0.0166,0.0452,0.1112,0
2018,2018/5/29,2689.86,9.58,15.89,-0.0116,-0.0092,-0.0089,-0.0138,-0.0304,-0.0756,0
2018,2018/5/30,2724.01,10.46,15.92,0.0127,0.0243,0.0335,0.0423,0.0562,0.0866,1
2018,2018/5/31,2705.27,10.43,15.73,-0.0069,-0.0196,-0.0438,-0.0773,-0.1196,-0.1758,0
2018,2018/6/1,2734.62,10.85,15.85,0.0108,0.0177,0.0373,0.0811,0.1584,0.2781,1
2018,2018/6/4,2746.87,10.14,15.72,0.0045,-0.0064,-0.0241,-0.0614,-0.1425,-0.301,1
2018,2018/6/5,2748.8,10.12,15.71,0.0007,-0.0038,0.0026,0.0267,0.0881,0.2306,1
2018,2018/6/6,2772.35,10.4,15.8,0.0086,0.0079,0.0116,0.009,-0.0176,-0.1057,1
2018,2018/6/7,2770.37,10.02,15.78,-0.0007,-0.0093,-0.0171,-0.0288,-0.0378,-0.0202,0
2018,2018/6/8,2779.03,9.6,15.4,0.0031,0.0038,0.0131,0.0303,0.0591,0.0969,1
2018,2018/6/11,2782,9.6,15.4,0.0011,-0.0021,-0.0059,-0.019,-0.0493,-0.1083,1
2018,2018/6/12,2786.85,9.6,15.34,0.0017,0.0007,0.0027,0.0086,0.0276,0.0769,1
2018,2018/6/13,2775.63,9.34,15.31,-0.004,-0.0058,-0.0064,-0.0092,-0.0178,-0.0455,0
2018,2018/6/14,2782.49,9.3,15.31,0.0025,0.0065,0.0123,0.0187,0.0279,0.0457,1
2018,2018/6/15,2779.66,9.3,15.31,-0.001,-0.0035,-0.01,-0.0223,-0.041,-0.0689,0
2018,2018/6/19,2762.59,9.39,15.03,-0.0061,-0.0051,-0.0016,0.0084,0.0306,0.0716,0
2018,2018/6/20,2767.32,9.09,15.03,0.0017,0.0079,0.013,0.0146,0.0063,-0.0243,1
2018,2018/6/21,2749.76,9.34,15.09,-0.0063,-0.0081,-0.0159,-0.0289,-0.0435,-0.0498,0
2018,2018/6/22,2754.88,9.3,14.07,0.0019,0.0082,0.0163,0.0322,0.0611,0.1046,1
2018,2018/6/25,2717.07,10.57,13.64,-0.0137,-0.0156,-0.0238,-0.0401,-0.0722,-0.1333,0
2018,2018/6/26,2723.06,10.56,12.55,0.0022,0.0159,0.0315,0.0553,0.0954,0.1676,1
2018,2018/6/27,2699.63,10.73,12.12,-0.0086,-0.0108,-0.0267,-0.0583,-0.1136,-0.2089,0
2018,2018/6/28,2716.31,10.12,12.14,0.0062,0.0148,0.0256,0.0523,0.1106,0.2241,1
2018,2018/6/29,2718.37,9.13,11.85,0.0008,-0.0054,-0.0202,-0.0458,-0.0981,-0.2087,1
2018,2018/7/2,2726.71,8.83,11.76,0.0031,0.0023,0.0077,0.0279,0.0737,0.1719,1
2018,2018/7/3,2713.22,8.18,10.77,-0.0049,-0.008,-0.0103,-0.0181,-0.046,-0.1197,0
2018,2018/7/5,2736.61,8.81,10.5,0.0086,0.0136,0.0216,0.0319,0.05,0.096,1
2018,2018/7/6,2759.82,8.8,10.6,0.0085,-0.0001,-0.0137,-0.0353,-0.0672,-0.1172,1
2018,2018/7/9,2784.17,9.34,10.22,0.0088,0.0003,0.0005,0.0142,0.0495,0.1167,1
2018,2018/7/10,2793.84,9.36,10.14,0.0035,-0.0053,-0.0057,-0.0062,-0.0204,-0.0698,1
2018,2018/7/11,2774.02,9.72,10.17,-0.0071,-0.0106,-0.0052,0.0005,0.0066,0.027,0
2018,2018/7/12,2798.29,10.19,10.27,0.0087,0.0158,0.0264,0.0316,0.0312,0.0245,1
2018,2018/7/13,2801.31,10.06,10.16,0.0011,-0.0077,-0.0235,-0.0499,-0.0816,-0.1127,1
2018,2018/7/16,2798.43,10.05,9.96,-0.001,-0.0021,0.0056,0.0291,0.079,0.1606,0
2018,2018/7/17,2809.55,10.11,9.98,0.004,0.005,0.0071,0.0015,-0.0275,-0.1065,1
2018,2018/7/18,2815.62,9.97,9.89,0.0022,-0.0018,-0.0068,-0.0139,-0.0155,0.0121,1
2018,2018/7/19,2804.49,10.11,9.75,-0.004,-0.0061,-0.0043,0.0025,0.0164,0.0319,0
2018,2018/7/20,2801.83,9.79,9.75,-0.0009,0.003,0.0091,0.0134,0.0109,-0.0055,0
2018,2018/7/23,2806.98,9.79,9.28,0.0018,0.0028,-0.0002,-0.0093,-0.0228,-0.0337,1
2018,2018/7/24,2820.4,8.18,9.3,0.0048,0.0029,0.0002,0.0004,0.0097,0.0325,1
2018,2018/7/25,2846.07,8.57,9.25,0.0091,0.0043,0.0014,0.0012,0.0008,-0.0089,1
2018,2018/7/26,2837.44,7.83,9.29,-0.003,-0.0121,-0.0165,-0.0178,-0.0191,-0.0199,0
2018,2018/7/27,2818.82,8.32,9.27,-0.0066,-0.0035,0.0086,0.0251,0.0429,0.0619,0
2018,2018/7/30,2802.6,8.75,9.35,-0.0058,0.0008,0.0043,-0.0043,-0.0293,-0.0722,0
2018,2018/7/31,2816.29,8.81,9.07,0.0049,0.0106,0.0098,0.0055,0.0098,0.0391,1
2018,2018/8/1,2813.36,8.53,9.06,-0.001,-0.0059,-0.0166,-0.0264,-0.0319,-0.0416,0
2018,2018/8/2,2827.22,8.38,9.1,0.0049,0.006,0.0119,0.0285,0.0549,0.0867,1
2018,2018/8/3,2840.35,8.1,8.95,0.0046,-0.0003,-0.0062,-0.0181,-0.0466,-0.1014,1
2018,2018/8/6,2850.4,7.76,8.79,0.0035,-0.0011,-0.0008,0.0054,0.0236,0.0702,1
2018,2018/8/7,2858.45,7.33,8.8,0.0028,-0.0007,0.0004,0.0012,-0.0042,-0.0278,1
2018,2018/8/8,2857.7,7.3,8.8,-0.0003,-0.0031,-0.0024,-0.0028,-0.004,0.0002,0
2018,2018/8/9,2853.58,6.75,8.67,-0.0014,-0.0012,0.0019,0.0043,0.007,0.011,0
2018,2018/8/10,2833.28,6.8,8.8,-0.0071,-0.0057,-0.0045,-0.0064,-0.0107,-0.0177,0
2018,2018/8/13,2821.93,6.98,8.85,-0.004,0.0031,0.0088,0.0133,0.0197,0.0304,0
2018,2018/8/14,2839.96,7.26,8.9,0.0064,0.0104,0.0073,-0.0015,-0.0148,-0.0344,1
2018,2018/8/15,2818.37,7.7,8.96,-0.0076,-0.014,-0.0244,-0.0317,-0.0302,-0.0154,0
2018,2018/8/16,2840.69,8.12,9.05,0.0079,0.0155,0.0295,0.0539,0.0856,0.1158,1
2018,2018/8/17,2850.13,8.02,9.05,0.0033,-0.0046,-0.0201,-0.0496,-0.1035,-0.1891,1
2018,2018/8/20,2857.05,8.02,9.03,0.0024,-0.0009,0.0037,0.0238,0.0735,0.177,1
2018,2018/8/21,2862.96,8.02,9.01,0.0021,-0.0004,0.0005,-0.0032,-0.027,-0.1004,1
